timestamp,source,temperature,humidity,air_quality,total_usage_time,fuzzy_level,message
2025-12-15T16:53:42.331364,android_summary,24.72,60.7,0.29,3 jam 25 menit 17 detik,Rendah,"Tingkat stres kamu rendah, Kondisi kamu aman!"
2025-12-15T17:16:21.143783,android_summary,24.8,63.0,0.46,3 jam 47 menit 56 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T17:31:21.942916,android_summary,24.41,62.9,0.5,4 jam 2 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T17:46:22.261489,android_summary,24.23,63.7,0.54,4 jam 17 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:01:22.586639,android_summary,23.94,64.4,0.53,4 jam 32 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:16:22.966907,android_summary,23.72,65.2,0.53,4 jam 47 menit 57 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:31:23.374558,android_summary,23.27,65.7,0.55,5 jam 2 menit 58 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T18:46:23.655041,android_summary,22.71,65.4,0.53,4 jam 4 menit 30 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:01:24.116456,android_summary,22.94,65.9,0.54,4 jam 4 menit 30 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:16:24.631037,android_summary,22.61,66.7,0.54,4 jam 8 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:31:25.082116,android_summary,22.63,68.2,0.56,4 jam 23 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
2025-12-15T19:46:25.494590,android_summary,22.22,68.9,0.56,4 jam 38 menit 47 detik,Sedang,"Tingkat stres kamu sedang, Jaga aktivitasmu tetap produktif!"
