timestamp,app_name,package,usage_time,total_screen_time,fuzzy_level,
2025-11-24T21:59:06.706692,com.mobile.legends,com.mobile.legends,Lainnya,6 jam 54 menit 17 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 29 menit 32 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,WhatsApp,com.whatsapp,Sosial,1 jam 53 menit 5 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,Instagram,com.instagram.android,Sosial,0 jam 49 menit 10 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,System launcher,com.miui.home,Sistem,0 jam 48 menit 41 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T21:59:06.706692,Security,com.miui.securitycenter,Lainnya,0 jam 4 menit 10 detik,15 jam 53 menit 9 detik,Sedang
2025-11-24T22:29:56.964821,com.mobile.legends,com.mobile.legends,Lainnya,6 jam 54 menit 17 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 29 menit 32 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,WhatsApp,com.whatsapp,Sosial,1 jam 56 menit 49 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,Instagram,com.instagram.android,Sosial,0 jam 49 menit 26 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,System launcher,com.miui.home,Sistem,0 jam 48 menit 47 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,Facebook,com.facebook.katana,Sosial,0 jam 40 menit 22 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,YouTube,com.google.android.youtube,Hiburan,0 jam 26 menit 35 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,com.google.android.apps.maps,com.google.android.apps.maps,Lainnya,0 jam 14 menit 35 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T22:29:56.964821,com.google.android.googlequicksearchbox,com.google.android.googlequicksearchbox,Lainnya,0 jam 12 menit 26 detik,16 jam 8 menit 2 detik,Sedang
2025-11-24T23:01:10.877303,com.mobile.legends,com.mobile.legends,Lainnya,7 jam 1 menit 31 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,TikTok,com.ss.android.ugc.trill,Sosial,2 jam 29 menit 32 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,WhatsApp,com.whatsapp,Sosial,2 jam 28 menit 42 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,Twitter,com.twitter.android,Sosial,1 jam 4 menit 53 detik,16 jam 48 menit 3 detik,Tinggi
2025-11-24T23:01:10.877303,System launcher,com.miui.home,Sistem,0 jam 49 menit 41 detik,16 jam 48 menit 3 detik,Tinggi
